,quality
515,5
1510,6
1527,6
1043,7
838,7
151,4
1537,6
520,6
635,5
1196,6
178,5
1303,5
1002,7
854,6
483,5
164,5
1186,5
473,5
752,5
152,5
850,5
339,7
1067,7
481,8
262,5
1473,5
1478,3
166,5
1350,5
356,5
383,6
643,5
273,5
148,6
891,5
504,7
1286,6
1110,6
1562,5
115,6
1103,6
100,6
1176,4
281,7
131,5
446,5
980,6
149,6
429,6
1020,6
1398,7
977,5
1315,6
1171,6
949,7
1355,5
1430,5
580,5
793,5
485,5
223,6
33,6
918,6
1198,6
186,5
705,5
1155,5
599,6
1046,6
925,7
1339,6
1233,4
150,6
668,5
1050,5
1281,6
507,6
1375,5
1428,5
444,7
923,6
31,6
564,6
1575,6
399,5
1449,8
1061,8
1558,5
806,7
299,5
656,5
120,5
282,5
606,7
1267,6
560,5
422,5
955,5
1036,7
1258,6
1207,5
615,5
342,6
1194,6
836,7
683,5
863,5
717,5
1511,5
346,7
920,5
1574,6
877,6
245,6
1025,6
1203,5
1290,5
1458,5
749,6
1343,6
1584,7
458,7
941,7
34,5
43,5
1027,5
1377,6
204,6
390,8
1092,6
95,6
154,5
1528,6
45,4
405,6
258,5
582,5
491,7
721,5
35,6
1532,6
546,6
583,7
153,5
1569,6
1251,5
1014,6
1215,6
1506,6
1353,5
901,7
964,6
1482,4
1121,6
1499,6
338,6
1324,6
558,6
820,5
414,5
1412,6
554,5
585,6
1284,5
1566,6
341,6
147,5
311,6
576,4
435,5
1018,6
336,6
645,7
1316,6
985,6
1006,7
380,6
447,5
887,7
440,8
1237,6
1075,7
82,5
403,6
914,6
1095,5
1038,7
541,6
1389,5
1529,6
803,6
950,7
1040,5
961,5
825,5
80,5
322,5
539,5
948,7
910,6
833,4
373,5
715,6
1166,5
630,6
1234,6
631,5
655,5
1243,5
1351,6
305,6
423,7
1444,6
1021,6
242,6
171,6
1433,7
641,5
1278,6
248,6
534,6
382,6
1312,5
497,5
451,6
1222,6
349,6
203,5
70,6
1126,6
911,6
54,6
41,4
1503,6
1042,6
997,7
313,5
699,6
486,5
1519,5
1517,6
1004,5
765,6
1125,7
1317,6
1354,5
1576,6
637,5
290,7
243,7
510,5
757,5
306,5
787,6
96,5
15,5
557,5
315,6
728,5
455,8
935,6
1495,6
1457,5
1502,5
1185,6
1158,6
1238,4
316,5
180,5
376,6
745,6
459,3
1470,5
216,5
1071,5
895,6
1076,6
739,5
475,5
192,5
1347,5
1385,5
375,7
789,5
523,5
505,7
1572,5
553,5
940,7
725,5
754,6
1508,6
16,7
114,5
1231,5
217,5
1151,6
732,5
238,6
818,5
860,5
1101,6
371,6
775,5
1530,6
230,7
1188,5
1256,5
480,5
39,5
700,6
922,6
1077,5
540,5
687,5
1439,6
1518,5
1424,6
841,5
1554,6
814,6
1310,5
1139,6
1327,6
1313,6
516,6
1582,5
1589,5
1305,5
210,6
1524,6
982,6
1307,4
1140,6
199,4
708,6
1266,6
369,7
552,6
578,5
1081,7
894,6
915,6
784,5
839,5
577,5
415,5
971,6
220,6
1374,3
794,6
241,6
1248,6
261,4
360,5
999,6
1368,6
105,5
231,6
42,6
1407,6
143,5
1250,6
626,5
671,5
135,5
170,4
1182,6
703,4
1206,7
1264,6
1365,5
589,7
1113,6
2,5
664,5
686,5
1492,5
340,6
1361,5
1245,5
125,5
1116,6
1586,6
810,5
1273,5
848,5
1348,5
821,7
479,6
387,6
1187,6
727,5
1009,5
1545,6
943,7
766,5
873,7
474,6
694,5
593,5
402,6
358,7
1567,5
1008,7
904,7
57,5
1229,5
392,5
1280,6
1445,6
308,6
1543,6
155,5
636,5
1195,6
634,5
1531,5
774,6
1208,7
1294,6
129,5
489,6
1496,5
286,6
512,6
1598,6
265,7
878,6
278,8
1141,6
959,5
201,5
680,5
324,6
1332,6
726,6
279,7
302,5
1330,6
196,5
693,5
1142,6
496,6
94,4
477,6
566,6
28,5
1135,6
1249,6
945,7
1540,6
400,5
768,6
1410,6
735,5
53,5
600,4
126,5
718,5
378,6
644,5
1124,4
1285,5
